,precision,recall,f1-score,support
NORMAL,0.8622754491017964,0.9113924050632911,0.8861538461538462,158.0
PNEUMONIA,0.9665871121718377,0.9462616822429907,0.9563164108618654,428.0
accuracy,0.9368600682593856,0.9368600682593856,0.9368600682593856,0.9368600682593856
macro avg,0.9144312806368171,0.928827043653141,0.9212351285078557,586.0
weighted avg,0.9384621245181406,0.9368600682593856,0.9373988592853005,586.0
