,precision,recall,f1-score,support
NORMAL,0.8875,0.8987341772151899,0.8930817610062893,158.0
PNEUMONIA,0.9624413145539906,0.9579439252336449,0.9601873536299765,428.0
accuracy,0.9419795221843004,0.9419795221843004,0.9419795221843004,0.9419795221843004
macro avg,0.9249706572769953,0.9283390512244174,0.9266345573181329,586.0
weighted avg,0.9422352945889215,0.9419795221843004,0.9420940368474806,586.0
