accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0.6710076928138733,0.6238998174667358,0.8305741548538208,0.6898770928382874,0.8447098731994629,0.4635406732559204,0.8684210777282715,0.9274004697799683
0.7882152199745178,0.4830135703086853,0.9037949442863464,0.7943241596221924,0.8976109027862549,0.36314213275909424,0.8929336071014404,0.976580798625946
0.8217335343360901,0.4225200414657593,0.9252551794052124,0.8221182227134705,0.9095563292503357,0.3177158236503601,0.925000011920929,0.9531615972518921
0.8405209183692932,0.3726106584072113,0.9409046173095703,0.8338209390640259,0.9197952151298523,0.2780420482158661,0.9222221970558167,0.9718969464302063
0.8499146103858948,0.3512665033340454,0.9449360966682434,0.8434756994247437,0.9249146580696106,0.25783589482307434,0.9342403411865234,0.9648711681365967
0.8669940233230591,0.32423120737075806,0.9556570053100586,0.8575190305709839,0.9249146580696106,0.23870576918125153,0.9322798848152161,0.9672130942344666
0.8768146634101868,0.2995245158672333,0.9525326490402222,0.8747805953025818,0.9317406415939331,0.22738951444625854,0.9407745003700256,0.9672130942344666
0.880017101764679,0.28965312242507935,0.9594594836235046,0.8724400401115417,0.9334471225738525,0.21687516570091248,0.9429223537445068,0.9672130942344666
0.8842869400978088,0.27745479345321655,0.9606021642684937,0.8774136900901794,0.9317406415939331,0.20876657962799072,0.9367945790290833,0.9718969464302063
0.8862083554267883,0.26637527346611023,0.961304783821106,0.8794616460800171,0.9334471225738525,0.2019786536693573,0.9389140009880066,0.9718969464302063
