accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0.5503842830657959,0.7201627492904663,0.7933810353279114,0.5190169811248779,0.7713310718536377,0.5651442408561707,0.856447696685791,0.824355959892273
0.656917154788971,0.6191608309745789,0.8410546183586121,0.6533060073852539,0.7986348271369934,0.5083456039428711,0.9164420366287231,0.7962529063224792
0.7098633646965027,0.5447418689727783,0.876416802406311,0.7012873291969299,0.8788396120071411,0.4134364128112793,0.9198113083839417,0.9133489727973938
0.7574722170829773,0.5033559799194336,0.8915579915046692,0.760093629360199,0.873720109462738,0.3846222162246704,0.9358024597167969,0.88758784532547
0.8020922541618347,0.4480411410331726,0.9178128242492676,0.8004680871963501,0.8703071475028992,0.3597129285335541,0.9420654773712158,0.8758782148361206
0.8155422806739807,0.41920480132102966,0.9276624321937561,0.8104154467582703,0.8976109027862549,0.317026287317276,0.942168653011322,0.9156908392906189
0.8324081897735596,0.39608442783355713,0.9332017302513123,0.8297249674797058,0.8856655359268188,0.3144764304161072,0.9477611780166626,0.8922716379165649
0.8464987277984619,0.37504011392593384,0.9354630708694458,0.8481568098068237,0.8907849788665771,0.30491966009140015,0.9594936966896057,0.88758784532547
0.8580273389816284,0.3618309199810028,0.9441755414009094,0.8560561537742615,0.88225257396698,0.307052880525589,0.9710526466369629,0.864168643951416
0.8507685661315918,0.35147857666015625,0.940680742263794,0.8490345478057861,0.8907849788665771,0.28433874249458313,0.9618320465087891,0.8852459192276001
